GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PPROG_1DE_1181444_1180809_TP3,UI,MenuPrestador,466,0,82,0,92,0,50,0,8,0
PPROG_1DE_1181444_1180809_TP3,UI,MenuAdmin,184,0,34,0,47,0,25,0,6,0
PPROG_1DE_1181444_1180809_TP3,UI,MenuCliente,755,0,124,0,169,0,85,0,14,0
PPROG_1DE_1181444_1180809_TP3,UI,MenuLogin,228,0,44,0,58,0,30,0,6,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Tempo,315,39,30,0,60,15,36,3,21,3
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes,20,154,4,0,3,17,4,4,2,4
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data,252,49,30,0,38,18,29,5,14,5
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana,93,0,0,0,9,0,5,0,5,0
PPROG_1DE_1181444_1180809_TP3,Utils,Utilitarios,70,17,0,0,14,5,2,2,2,2
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.DiaDaSemana.new Data.DiaDaSemana() {...},8,0,0,0,1,0,2,0,2,0
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,Utils,Data.Mes.new Data.Mes() {...},2,7,0,0,0,1,1,1,1,1
PPROG_1DE_1181444_1180809_TP3,model,Empresa,618,368,130,36,145,80,104,28,20,25
PPROG_1DE_1181444_1180809_TP3,model,PrestadorServico,169,106,31,5,38,30,27,9,9,9
PPROG_1DE_1181444_1180809_TP3,model,Administrativo,0,9,0,0,0,4,0,2,0,2
PPROG_1DE_1181444_1180809_TP3,model,PedidoPrestacaoServico,215,108,21,1,54,31,30,5,19,5
PPROG_1DE_1181444_1180809_TP3,model,Utilizador,38,37,0,0,10,15,4,6,4,6
PPROG_1DE_1181444_1180809_TP3,model,AreaGeografica,81,32,8,0,21,11,12,3,8,3
PPROG_1DE_1181444_1180809_TP3,model,AplicacaoGPSD,3,0,0,0,1,0,1,0,1,0
PPROG_1DE_1181444_1180809_TP3,model,CodigoPostal,106,73,30,6,24,21,26,4,8,4
PPROG_1DE_1181444_1180809_TP3,model,Disponibilidade,178,44,0,0,39,10,16,2,16,2
PPROG_1DE_1181444_1180809_TP3,model,AfetacaoPedidoAPrestador,71,0,0,0,17,0,8,0,8,0
PPROG_1DE_1181444_1180809_TP3,model,Servico,92,69,17,3,22,25,18,6,8,6
PPROG_1DE_1181444_1180809_TP3,model,Cliente,141,109,24,12,31,24,24,9,9,6
PPROG_1DE_1181444_1180809_TP3,model,Categoria,45,61,9,9,12,18,11,7,4,5
PPROG_1DE_1181444_1180809_TP3,model,EnderecoPostal,89,111,23,13,18,27,21,10,5,8
PPROG_1DE_1181444_1180809_TP3,model,Leitor,460,0,12,0,145,0,14,0,8,0
PPROG_1DE_1181444_1180809_TP3,main,Main,39,0,0,0,16,0,2,0,2,0
